"","NYHAClass","variable","mean","sd","sem","median","q1","q3","n"
"349","II","StepData.MaximumDailyMinimumSteps",0,0,0,0,0,0,35
"350","III","StepData.MaximumDailyMinimumSteps",0,0,0,0,0,0,15
"352","II","StepData.MeanDailyMinimumSteps",0,0,0,0,0,0,35
"353","III","StepData.MeanDailyMinimumSteps",0,0,0,0,0,0,15
"355","II","StepData.ModeDailyMinimumSteps",0,0,0,0,0,0,35
"356","III","StepData.ModeDailyMinimumSteps",0,0,0,0,0,0,15
"358","II","StepData.MinimumDailyMinimumSteps",0,0,0,0,0,0,35
"359","III","StepData.MinimumDailyMinimumSteps",0,0,0,0,0,0,15
"361","II","StepData.StdDevDailyMinimumSteps",0,0,0,0,0,0,35
"362","III","StepData.StdDevDailyMinimumSteps",0,0,0,0,0,0,15
"364","II","StepData.StdErrDailyMinimumSteps",0,0,0,0,0,0,35
"365","III","StepData.StdErrDailyMinimumSteps",0,0,0,0,0,0,15
"367","II","StepData.MaximumDailyModeSteps",0,0,0,0,0,0,35
"368","III","StepData.MaximumDailyModeSteps",0,0,0,0,0,0,15
"370","II","StepData.MeanDailyModeSteps",0,0,0,0,0,0,35
"371","III","StepData.MeanDailyModeSteps",0,0,0,0,0,0,15
"373","II","StepData.ModeDailyModeSteps",0,0,0,0,0,0,35
"374","III","StepData.ModeDailyModeSteps",0,0,0,0,0,0,15
"376","II","StepData.MinimumDailyModeSteps",0,0,0,0,0,0,35
"377","III","StepData.MinimumDailyModeSteps",0,0,0,0,0,0,15
"379","II","StepData.StdDevDailyModeSteps",0,0,0,0,0,0,35
"380","III","StepData.StdDevDailyModeSteps",0,0,0,0,0,0,15
"382","II","StepData.StdErrDailyModeSteps",0,0,0,0,0,0,35
"383","III","StepData.StdErrDailyModeSteps",0,0,0,0,0,0,15
"385","II","StepData.MaximumDailyIQR",2.38571428571429,5.53874815210414,0.936219313324104,0,0,2.5,35
"386","III","StepData.MaximumDailyIQR",1.86666666666667,3.41983012666391,0.882996341828515,0,0,2,15
"388","II","StepData.MeanDailyIQR",0.380204081632653,0.885957989466674,0.149754232861696,0,0,0.160714285714286,35
"389","III","StepData.MeanDailyIQR",0.250420168067227,0.641147913313374,0.165543679381222,0,0,0.142857142857143,15
"391","II","StepData.ModeDailyIQR",0,0,0,0,0,0,35
"392","III","StepData.ModeDailyIQR",0,0,0,0,0,0,15
"394","II","StepData.MinimumDailyIQR",0,0,0,0,0,0,35
"395","III","StepData.MinimumDailyIQR",0,0,0,0,0,0,15
"397","II","StepData.StdDevDailyIQR",0.712471934906903,1.48165273751133,0.250445023027571,0,0,0.633630620956212,35
"398","III","StepData.StdDevDailyIQR",0.589576990419688,1.17523264425092,0.303443763940209,0,0,0.53452248382485,15
"400","II","StepData.StdErrDailyIQR",0.1775155876774,0.356432141417011,0.0602480281681166,0,0,0.160714285714286,35
"401","III","StepData.StdErrDailyIQR",0.150923262766505,0.293612557010189,0.0758104362358557,0,0,0.142857142857143,15
"403","II","StepData.MaximumDailySkewness",12.6012581923813,10.0150493679314,2.04431339168459,8.83392631797213,5.79062178724392,14.251077492895,24
"404","III","StepData.MaximumDailySkewness",11.6769408443396,8.26219139354319,2.61273432678371,8.51386064718448,5.7319437887533,12.5614978052529,10
"406","II","StepData.MeanDailySkewness",5.26276761087132,1.34841837716445,0.275244748653722,4.88840295030741,4.16468733409366,6.51386813220798,24
"407","III","StepData.MeanDailySkewness",5.60022643621149,1.80478314966455,0.570722543563253,5.06479647102402,4.20378112164446,6.35480552864506,10
"409","II","StepData.ModeDailySkewness",7.59587505695701,7.42985759526843,1.35650020132654,4.82550984848996,3.59265134028332,9.17656801128464,30
"410","III","StepData.ModeDailySkewness",10.870971235485,10.9725994715479,3.16751662930406,5.86911894116971,4.7982456385589,10.2856404818865,12
"412","II","StepData.MinimumDailySkewness",3.34225332065373,0.758947162136312,0.154919440747275,3.29870389636566,2.86753303710631,3.62545819717525,24
"413","III","StepData.MinimumDailySkewness",3.59265340183667,1.11904584905045,0.35387336891564,3.43863708378848,2.76214214827794,4.11845306523692,10
"415","II","StepData.StdDevDailySkewness",2.35695392054037,2.37331835320522,0.484451580211272,1.26474118428596,0.829192575107008,3.05276191597071,24
"416","III","StepData.StdDevDailySkewness",2.01865762057644,1.87874626334939,0.594111733771459,1.43943341088364,0.834855433264036,2.00235368863736,10
"418","II","StepData.StdErrDailySkewness",0.599896565869769,0.594113616240184,0.121272934085679,0.332547987744965,0.211991510511122,0.788219737366053,24
"419","III","StepData.StdErrDailySkewness",0.50765640450885,0.457321639895282,0.144617800535242,0.36944639612147,0.217555917292532,0.508307808680547,10
"421","II","StepData.MaximumDailyKurtosis",272.453803232431,410.700836316655,83.8339571591767,99.2728502653507,42.3271751157757,244.431732977832,24
"422","III","StepData.MaximumDailyKurtosis",216.470791871768,285.746277303968,90.3609069194617,99.4000839737281,36.5095079831965,186.739023065433,10
"424","II","StepData.MeanDailyKurtosis",44.2520645931932,32.3607513187192,6.60561070199666,31.7374718748421,20.0839048827082,54.4815711235919,24
"425","III","StepData.MeanDailyKurtosis",46.4908862950894,32.3665969595207,10.2352166500766,33.369345878653,20.4007503068844,68.5369879739026,10
"427","II","StepData.ModeDailyKurtosis",115.915570125176,280.583706709948,51.2273418111506,25.9106869747606,15.4958282291915,97.8361473323761,30
"428","III","StepData.ModeDailyKurtosis",236.109613482419,448.693821523878,129.526749320267,39.0593018647823,25.9140996219546,123.945166067674,12
"430","II","StepData.MinimumDailyKurtosis",12.2876597119261,7.70019021805023,1.57179474638278,10.4038278503246,7.71962520352013,14.9979807291539,24
"431","III","StepData.MinimumDailyKurtosis",14.7364212814534,9.15535112445094,2.89517623318486,13.1741282239654,7.62842046741065,19.208453703199,10
"433","II","StepData.StdDevDailyKurtosis",65.6166051679431,101.16127341991,20.6494584674128,20.1409703526929,9.30183532432157,65.9995145303089,24
"434","III","StepData.StdDevDailyKurtosis",49.5529894817432,68.7507159069535,21.7408853033142,22.8205878277499,9.24668866796934,40.1294401953441,10
"436","II","StepData.StdErrDailyKurtosis",16.5828138000899,25.4702405831573,5.19909108788865,4.91080356522263,2.46513401214164,17.0410013755774,24
"437","III","StepData.StdErrDailyKurtosis",12.3447132965138,16.9363365443071,5.35573986991555,5.75150111832382,2.47128149697903,10.5627642798913,10
"439","II","StepData.TotalActiveMinutes_Pure",2971.51428571429,888.384898414585,150.16445534633,2957,2395.5,3582.5,35
"440","III","StepData.TotalActiveMinutes_Pure",2438.93333333333,1097.91714927251,283.480988976529,2669,1695.5,3062,15
"442","II","StepData.MeanActiveMinutes_Pure",193.154442009824,66.7713594192159,11.2864197014315,188.133333333333,150.79375,234.473214285715,35
"443","III","StepData.MeanActiveMinutes_Pure",158.133822055138,73.1219267412283,18.8800003007584,177.933333333333,106.125,206.285714285714,15
"445","II","StepData.StdDevActiveMinutes_Pure",74.7705033620568,34.7339638823668,5.87111147175378,69.5524468091731,48.7055017335923,90.3166204312864,35
"446","III","StepData.StdDevActiveMinutes_Pure",66.2393455257541,34.2484366169393,8.84290831006974,63.6802675134789,43.7456188709455,82.8199448567353,15
"448","II","StepData.ModeActiveMinutes_Pure",161.857142857143,121.030900978207,20.4579561830715,179,35,253.5,35
"449","III","StepData.ModeActiveMinutes_Pure",118.466666666667,114.764271858615,29.6320075765358,82,2,216,15
"451","II","StepData.MaxActiveMinutes_Pure",306.2,89.7430318448507,15.1693410391825,308,244.5,363,35
"452","III","StepData.MaxActiveMinutes_Pure",268.466666666667,108.556678196011,28.02921378485,257,185,340,15
"454","II","StepData.TotalActiveMinutes_PosMET",772.114285714286,516.281658845735,87.2675281223539,714,433.5,878.5,35
"455","III","StepData.TotalActiveMinutes_PosMET",456.266666666667,328.03537846368,84.6983705171119,315,203,732,15
"457","II","StepData.MeanActiveMinutes_PosMET",50.3916283075954,36.1944750433116,6.11798291610399,46.8125,28.5880952380952,56.2023809523809,35
"458","III","StepData.MeanActiveMinutes_PosMET",29.466017330909,21.0599031867974,5.43764362101378,21.3571428571429,13.7142857142857,46.3849206349206,15
"460","II","StepData.StdDevActiveMinutes_PosMET",28.5937466707554,16.4423988161041,2.77927266347471,25.1156491720468,17.2099384219583,36.7827737752888,35
"461","III","StepData.StdDevActiveMinutes_PosMET",17.8464390552177,12.2573261241944,3.16482799653588,11.5675274932758,10.9825723412035,22.7750542091685,15
"463","II","StepData.ModeActiveMinutes_PosMET",36.2285714285714,43.9351699628426,7.42639916526339,19,6.5,53,35
"464","III","StepData.ModeActiveMinutes_PosMET",20.1333333333333,20.2902744706728,5.23892634099289,19,0,35,15
"466","II","StepData.MaxActiveMinutes_PosMET",108.085714285714,62.0902433505276,10.4951666689655,99,63.5,138.5,35
"467","III","StepData.MaxActiveMinutes_PosMET",67,45.7337012341165,11.8083908826773,45,35.5,97,15
"469","II","StepData.TotalMETClass.BelowMin",22309.0285714286,4666.72574778527,788.820624278368,20843,19472,22513,35
"470","III","StepData.TotalMETClass.BelowMin",22295.7333333333,2895.46883612177,747.606838784147,22167,19895.5,23215.5,15
"472","II","StepData.MeanMETClass.BelowMin",1389.60837169241,36.1944750433113,6.11798291610392,1393.1875,1383.79761904762,1411.41190476191,35
"473","III","StepData.MeanMETClass.BelowMin",1410.53398266909,21.0599031867983,5.43764362101401,1418.64285714286,1393.61507936507,1426.28571428572,15
"475","II","StepData.StdDevMETClass.BelowMin",28.5937466707554,16.4423988161041,2.77927266347471,25.1156491720468,17.2099384219583,36.7827737752888,35
"476","III","StepData.StdDevMETClass.BelowMin",17.8464390552177,12.2573261241944,3.16482799653588,11.5675274932758,10.9825723412035,22.7750542091685,15
"478","II","StepData.ModeMETClass.BelowMin",1403.77142857143,43.9351699628426,7.42639916526339,1421,1387,1433.5,35
"479","III","StepData.ModeMETClass.BelowMin",1419.86666666667,20.2902744706728,5.23892634099289,1421,1405,1440,15
"481","II","StepData.MaxMETClass.BelowMin",1431.22857142857,16.2518518660376,2.74706435035985,1439,1431.5,1440,35
"482","III","StepData.MaxMETClass.BelowMin",1435.06666666667,7.9053929753832,2.04116368925895,1439,1433,1440,15
"484","II","StepData.OverallMETClass.BelowMin.PercentageAll",0.965005813675281,0.0251350521134108,0.00424859924729442,0.967491319444444,0.960970568783069,0.980147156084656,35
"485","III","StepData.OverallMETClass.BelowMin.PercentageAll",0.979537487964647,0.0146249327686092,0.00377614140348178,0.985168650793651,0.967788249559083,0.990476190476191,15
"487","II","StepData.TotalMETClassNegligible",347.914285714286,324.058851901623,54.7759434934191,246,158,382.5,35
"488","III","StepData.TotalMETClassNegligible",218.133333333333,182.888282318807,47.2215514424814,163,91,311.5,15
"490","II","StepData.MeanMETClassNegligible",22.7159150507258,22.2077008840894,3.75378657798527,16.4,10.6160714285715,23.8303571428571,35
"491","III","StepData.MeanMETClassNegligible",13.8155764820548,10.6911301581203,2.76043793696905,11.6428571428571,5.28125,21.7098214285715,15
"493","II","StepData.StdDevMETClassNegligible",11.8511637699685,9.92874255400937,1.67826380272502,8.27414880586145,6.00678064618939,14.8726068259967,35
"494","III","StepData.StdDevMETClassNegligible",7.80248305636603,5.3440455397106,1.37982662511154,6.49777289781499,4.54860383862261,9.05127513067499,15
"496","II","StepData.ModeMETClassNegligible",17.7428571428571,21.5520476127564,3.64296094760654,11,3,23.5,35
"497","III","StepData.ModeMETClassNegligible",10.4,11.9809372397512,3.09346469343418,5,0,19.5,15
"499","II","StepData.MaxMETClassNegligible",45.2857142857143,37.8523225090315,6.39821028397279,33,23,50.5,35
"500","III","StepData.MaxMETClassNegligible",29.6,19.5331220531398,5.04343042741649,22,16.5,43,15
"502","II","StepData.OverallMETClassNegligible.Percentage",0.47480999747576,0.119635134429259,0.0202220285755813,0.443168771649077,0.411882515962387,0.558648822779456,35
"503","III","StepData.OverallMETClassNegligible.Percentage",0.550071092500309,0.145584536255764,0.0375897656255935,0.56711983392678,0.529868597492798,0.631167127124767,15
"505","II","StepData.OverallMETClassNegligible.PercentageAll",0.0157749410074485,0.0154220145028398,0.00260679623471199,0.0113888888888889,0.00737227182539683,0.0165488591269841,35
"506","III","StepData.OverallMETClassNegligible.PercentageAll",0.00959415033476028,0.00742439594313909,0.00191697078956184,0.00808531746031746,0.00366753472222222,0.0150762648809523,15
"508","II","StepData.TotalMETClassSedentary",117.628571428571,71.4970528863153,12.0852076894838,108,61.5,135,35
"509","III","StepData.TotalMETClassSedentary",69.4,47.0832090179564,12.1568322941699,62,35,94.5,15
"511","II","StepData.MeanMETClassSedentary",7.65243178853238,4.87989191239582,0.824852282475321,7.07142857142857,4.11160714285715,9.3,35
"512","III","StepData.MeanMETClassSedentary",4.47674267367766,2.97146887090419,0.767229963385712,4.375,2.35714285714285,5.93253968253968,15
"514","II","StepData.StdDevMETClassSedentary",5.58777011065375,3.58653416247967,0.606234921429774,4.46229626000873,3.34609735896321,7.28240063606517,35
"515","III","StepData.StdDevMETClassSedentary",3.38033496038831,1.58475330899167,0.40918154490479,3.3935944832115,2.04796370625496,4.22206393457305,15
"517","II","StepData.ModeMETClassSedentary",5.48571428571429,5.65358516430805,0.955630311216993,3,1.5,9,35
"518","III","StepData.ModeMETClassSedentary",3.2,3.48875745379764,0.900793301167683,2,0.5,5,15
"520","II","StepData.MaxMETClassSedentary",20.1428571428571,13.6751015850466,2.31151405768937,16,11.5,25,35
"521","III","StepData.MaxMETClassSedentary",12,5.87974732207334,1.51814423055318,12,7.5,15.5,15
"523","II","StepData.OverallMETClassSedentary.Percentage",0.170825192986928,0.0625239559949353,0.0105684774863156,0.162647346650948,0.136332669420076,0.185153919240634,35
"524","III","StepData.OverallMETClassSedentary.Percentage",0.16100165174086,0.0486979181195894,0.0125737483914762,0.171630651288516,0.144017888558322,0.182039143379974,15
"526","II","StepData.OverallMETClassSedentary.PercentageAll",0.00531418874203638,0.00338881382805266,0.000572814085052307,0.00491071428571429,0.00285528273809524,0.00645833333333334,35
"527","III","StepData.OverallMETClassSedentary.PercentageAll",0.00310884907894282,0.00206352004923902,0.000532798585684522,0.00303819444444444,0.00163690476190476,0.00411981922398589,15
"529","II","StepData.TotalMETClassVeryLight",56.4285714285714,40.4106026523076,6.83063855354825,49,25.5,79.5,35
"530","III","StepData.TotalMETClassVeryLight",35.8,26.9820045850669,6.96672362701709,24,15.5,60,15
"532","II","StepData.MeanMETClassVeryLight",3.63484886365039,2.58409264651936,0.436791378963702,2.80952380952381,1.62828947368421,5.16428571428571,35
"533","III","StepData.MeanMETClassVeryLight",2.33180238177142,1.77437921103335,0.458142742279255,1.6,1.02232142857143,3.81512605042017,15
"535","II","StepData.StdDevMETClassVeryLight",3.36667658233391,2.43063735869345,0.41085270108037,2.69880525113425,1.72711962256262,4.42167316223717,35
"536","III","StepData.StdDevMETClassVeryLight",2.27061349841684,1.51763757115341,0.391852335910389,1.75949803447839,1.4572640039008,2.98473413749098,15
"538","II","StepData.ModeMETClassVeryLight",1.71428571428571,2.56184019995082,0.433030028984597,1,0,2,35
"539","III","StepData.ModeMETClassVeryLight",0.8,1.32017314881691,0.340867241298539,0,0,1.5,15
"541","II","StepData.MaxMETClassVeryLight",11.7714285714286,9.05241506380452,1.53013742134858,9,6,15.5,35
"542","III","StepData.MaxMETClassVeryLight",7.06666666666667,4.49550039589853,1.16073321107892,5,4,10.5,15
"544","II","StepData.OverallMETClassVeryLight.Percentage",0.0691558739480583,0.0271150275529584,0.00458327618069275,0.0643614357498802,0.0562583628554418,0.0853153686686819,35
"545","III","StepData.OverallMETClassVeryLight.Percentage",0.0669164083258557,0.0186943574230732,0.00482686233117411,0.0724988648094384,0.0595078353405154,0.0754955045895112,15
"547","II","StepData.OverallMETClassVeryLight.PercentageAll",0.00252420059975722,0.00179450878230511,0.00030332734650257,0.0019510582010582,0.00113075657894736,0.00358630952380953,35
"548","III","StepData.OverallMETClassVeryLight.PercentageAll",0.00161930720956349,0.00123220778543983,0.000318154682138372,0.00111111111111111,0.000709945436507936,0.00264939309056956,15
"550","II","StepData.TotalMETClassLight",112.742857142857,75.8851077605609,12.826924338874,106,51,163.5,35
"551","III","StepData.TotalMETClassLight",82,125.336119523236,32.361646906117,55,22.5,78,15
"553","II","StepData.MeanMETClassLight",7.35196522710718,5.29276451266886,0.894640489431638,5.04761904761905,3.22708333333334,10.8904761904762,35
"554","III","StepData.MeanMETClassLight",5.53302504627582,8.97067039032214,2.31621713506891,3.55555555555556,1.48214285714285,5.12605042016807,15
"556","II","StepData.StdDevMETClassLight",6.29744558321111,3.67600642780646,0.621358494574,5.68037557443754,3.27031490127214,8.79910944796232,35
"557","III","StepData.StdDevMETClassLight",5.21650776927192,8.07564054254428,2.08512142208209,3.4778208831448,2.21428245593787,4.08648084492978,15
"559","II","StepData.ModeMETClassLight",4.28571428571429,5.41550838725571,0.915387991001427,2,0,6,35
"560","III","StepData.ModeMETClassLight",2.86666666666667,7.89092305542683,2.03742757199148,0,0,2,15
"562","II","StepData.MaxMETClassLight",22.7142857142857,13.4919833028869,2.28056141863219,19,11.5,29.5,35
"563","III","StepData.MaxMETClassLight",16.3333333333333,23.1876403859182,5.98702300350052,9,8,13.5,15
"565","II","StepData.OverallMETClassLight.Percentage",0.139402463170499,0.0706669638805133,0.0119448970384724,0.126098334778361,0.0836765376311359,0.186879238478991,35
"566","III","StepData.OverallMETClassLight.Percentage",0.127980027180434,0.102685836417666,0.0265133689557999,0.123045155993432,0.0704256008066566,0.139495739482146,15
"568","II","StepData.OverallMETClassLight.PercentageAll",0.00510553140771332,0.00367553091157559,0.000621278117660859,0.00350529100529101,0.00224103009259259,0.00756283068783069,35
"569","III","StepData.OverallMETClassLight.PercentageAll",0.00384237850435821,0.0062296322155015,0.00160848412157563,0.00246913580246914,0.00102926587301587,0.00355975723622782,15
"571","II","StepData.TotalMETClassLowModerate",134.057142857143,121.223649133507,20.4905365677801,95,58.5,170.5,35
"572","III","StepData.TotalMETClassLowModerate",50.0666666666667,55.3139954734613,14.2820122187272,33,12,46,15
"574","II","StepData.MeanMETClassLowModerate",8.82085781796632,8.28852896969667,1.40101710483594,5.40909090909091,3.55,10.9541666666667,35
"575","III","StepData.MeanMETClassLowModerate",3.25470408046259,3.58897960896082,0.926670550358884,1.94444444444444,0.715789473684211,2.95798319327731,15
"577","II","StepData.StdDevMETClassLowModerate",9.07827235348947,6.55584298688569,1.10813971873971,6.54435416435965,4.18654004929073,12.2039511410406,35
"578","III","StepData.StdDevMETClassLowModerate",3.93142331492247,2.76809559810517,0.714719210144759,2.68328157299975,2.0840864991041,5.77531269276782,15
"580","II","StepData.ModeMETClassLowModerate",3,7.03353312605366,1.18888408945164,0,0,2,35
"581","III","StepData.ModeMETClassLowModerate",1.26666666666667,3.59497003100297,0.928217270679285,0,0,0,15
"583","II","StepData.MaxMETClassLowModerate",29.6,19.665137860153,3.32401498646623,27,14,44.5,35
"584","III","StepData.MaxMETClassLowModerate",13.1333333333333,8.62609551358689,2.2272482844611,9,7.5,21,15
"586","II","StepData.OverallMETClassLowModerate.Percentage",0.141607898547478,0.0918689230385436,0.0155286822366703,0.12702845160822,0.0710771985486489,0.184109544242519,35
"587","III","StepData.OverallMETClassLowModerate.Percentage",0.0930353257294468,0.0785466775614509,0.0202806649396949,0.0513563016010172,0.0473662856751092,0.131853711422677,15
"589","II","StepData.OverallMETClassLowModerate.PercentageAll",0.00612559570692106,0.00575592289562269,0.00097292854502496,0.00375631313131313,0.00246527777777778,0.00760706018518519,35
"590","III","StepData.OverallMETClassLowModerate.PercentageAll",0.00226021116698791,0.00249234695066724,0.000643521215527003,0.00135030864197531,0.000497076023391813,0.00205415499533147,15
"592","II","StepData.TotalMETClassModerate",3.22857142857143,9.68347808894922,1.63680654148916,0,0,1.5,35
"593","III","StepData.TotalMETClassModerate",0.866666666666667,3.35658556671309,0.866666666666667,0,0,0,15
"595","II","StepData.MeanMETClassModerate",0.207990511994271,0.611970912377604,0.103441964073205,0,0,0.0883458646616542,35
"596","III","StepData.MeanMETClassModerate",0.0541666666666667,0.209786597919568,0.0541666666666667,0,0,0,15
"598","II","StepData.StdDevMETClassModerate",0.364458489475051,0.875281977599856,0.147949657491142,0,0,0.291281504777365,35
"599","III","StepData.StdDevMETClassModerate",0.0917928424547687,0.35551215012836,0.0917928424547687,0,0,0,15
"601","II","StepData.ModeMETClassModerate",0,0,0,0,0,0,35
"602","III","StepData.ModeMETClassModerate",0,0,0,0,0,0,15
"604","II","StepData.MaxMETClassModerate",1.11428571428571,2.45873507138539,0.415602081366316,0,0,1,35
"605","III","StepData.MaxMETClassModerate",0.266666666666667,1.03279555898864,0.266666666666667,0,0,0,15
"607","II","StepData.OverallMETClassModerate.Percentage",0.00403526478255683,0.0122379083365835,0.00206858405992823,0,0,0.00123001816001564,35
"608","III","StepData.OverallMETClassModerate.Percentage",0.000995494523094987,0.00385553370918758,0.000995494523094987,0,0,0,15
"610","II","StepData.OverallMETClassModerate.PercentageAll",0.000144437855551577,0.000424979800262224,7.18346972730588e-05,0,0,6.13512949039265e-05,35
"611","III","StepData.OverallMETClassModerate.PercentageAll",3.76157407407407e-05,0.000145685137444145,3.76157407407407e-05,0,0,0,15
"613","II","StepData.TotalMETClassVigorous",0.114285714285714,0.676123403782813,0.114285714285714,0,0,0,35
"614","III","StepData.TotalMETClassVigorous",0,0,0,0,0,0,15
"616","II","StepData.MeanMETClassVigorous",0.00761904761904763,0.0450748935855209,0.00761904761904763,0,0,0,35
"617","III","StepData.MeanMETClassVigorous",0,0,0,0,0,0,15
"619","II","StepData.StdDevMETClassVigorous",0.016960481134419,0.100339559550979,0.016960481134419,0,0,0,35
"620","III","StepData.StdDevMETClassVigorous",0,0,0,0,0,0,15
"622","II","StepData.ModeMETClassVigorous",0,0,0,0,0,0,35
"623","III","StepData.ModeMETClassVigorous",0,0,0,0,0,0,15
"625","II","StepData.MaxMETClassVigorous",0.0571428571428571,0.338061701891407,0.0571428571428571,0,0,0,35
"626","III","StepData.MaxMETClassVigorous",0,0,0,0,0,0,15
"628","II","StepData.OverallMETClassVigorous.Percentage",0.000163309088719961,0.000966149598172584,0.000163309088719961,0,0,0,35
"629","III","StepData.OverallMETClassVigorous.Percentage",0,0,0,0,0,0,15
"631","II","StepData.OverallMETClassVigorous.PercentageAll",5.29100529100529e-06,3.13020094343895e-05,5.29100529100529e-06,0,0,0,35
"632","III","StepData.OverallMETClassVigorous.PercentageAll",0,0,0,0,0,0,15
"634","II","BMI",28.380998296732,6.33191419421553,1.07028884436343,27.1020408163265,24.0210502489814,31.6486846775284,35
"635","III","BMI",30.2199554150728,6.71485470595359,1.73376802989072,29.6296296296296,27.0339452473213,33.5940726663771,15
