"","PureNYHAClass","variable","mean","sd","sem","median","q1","q3","n"
"1","II","Handedness",0.884615384615385,0.325812593608421,0.0638971066378314,1,1,1,26
"2","III","Handedness",1,0,0,1,1,1,11
"4","II","WristbandPreference",0.346153846153846,0.485164524037584,0.0951485913604076,0,0,1,26
"5","III","WristbandPreference",0.2,0.421637021355784,0.133333333333333,0,0,0,10
"7","II","NYHAClassMixed",NA,NA,NA,NA,NA,NA,0
"8","III","NYHAClassMixed",NA,NA,NA,NA,NA,NA,0
"10","II","EjectionFraction",31,9.64365076099295,5.56776436283002,35,27.5,36.5,3
"11","III","EjectionFraction",NA,NA,NA,NA,NA,NA,0
"13","II","HFDiagnosisYear",13999.6,17890.1357131055,3578.0271426211,2011,2001,36923,25
"14","III","HFDiagnosisYear",16563.625,20109.5364508448,7109.79479545522,2004,1995.25,40603,8
"16","II","HFTreatmentsToDate",NA,NA,NA,NA,NA,NA,0
"17","III","HFTreatmentsToDate",NA,NA,NA,NA,NA,NA,0
"19","II","RegularPhysicalActivities",NA,NA,NA,NA,NA,NA,0
"20","III","RegularPhysicalActivities",NA,NA,NA,NA,NA,NA,0
"22","II","Exercises",NA,NA,NA,NA,NA,NA,0
"23","III","Exercises",NA,NA,NA,NA,NA,NA,0
"25","II","DeviceID",NA,NA,NA,NA,NA,NA,0
"26","III","DeviceID",NA,NA,NA,NA,NA,NA,0
"28","II","ID",28.9615384615385,14.5037395708301,2.84441734968193,29.5,16.25,40.5,26
"29","III","ID",27.1818181818182,17.7359419361825,5.34758770053152,28,14.5,41.5,11
"31","II","CPSDate",NA,NA,NA,NA,NA,NA,0
"32","III","CPSDate",NA,NA,NA,NA,NA,NA,0
"34","II","Sex",0.115384615384615,0.325812593608421,0.0638971066378314,0,0,0,26
"35","III","Sex",0.0909090909090909,0.301511344577764,0.0909090909090909,0,0,0,11
"37","II","Age",54.9615384615385,13.9956586675462,2.74477448659239,57,45,65.75,26
"38","III","Age",57.8181818181818,12.8593793148673,3.87724874766111,58,52.5,67.5,11
"40","II","Height",173.961538461538,7.97737184406378,1.56449133461796,175,170,177,26
"41","III","Height",175.272727272727,9.52985738708517,2.87336011441438,175,170,181.5,11
"43","II","Weight",87.6230769230769,18.6859585291696,3.66461796809313,84.5,79,93.75,26
"44","III","Weight",94.3545454545455,17.4408350509007,5.25860962675607,94,82,104,11
"46","II","SBP.Resting",112.192307692308,14.6205861189468,2.86733284310282,109.5,102,115,26
"47","III","SBP.Resting",101.818181818182,17.0869434470778,5.15190729345265,94,91,108.5,11
"49","II","DBP.Resting",69.2692307692308,8.34533494741915,1.63665483632146,70,65,72,26
"50","III","DBP.Resting",64.6363636363636,11.4041459765537,3.43847938715179,60,56,73.5,11
"52","II","HR.Resting",67,12.3353151560874,2.41915433412333,66,60,73,26
"53","III","HR.Resting",69.3636363636364,13.0940652760915,3.94800922738336,70,61.5,80,11
"55","II","O2Sat.Resting",98.48,1.0847426730182,0.21694853460364,99,98,99,25
"56","III","O2Sat.Resting",98.0909090909091,1.57826141399614,0.475863721029178,98,97.5,99,11
"58","II","FEV.Resting",2.526,0.771864625436352,0.15437292508727,2.59,2.08,2.87,25
"59","III","FEV.Resting",2.58363636363636,0.877453961496245,0.264562323735818,2.29,2.015,3.215,11
"61","II","FEV.Resting.Percentage",70.08,23.2538885637076,4.65077771274153,75,63,86,25
"62","III","FEV.Resting.Percentage",74.2727272727273,16.395675704837,4.94348222702637,81,64.5,87,11
"64","II","FVC.Resting",3.2812,0.945124859476249,0.18902497189525,3.33,2.74,3.7,25
"65","III","FVC.Resting",3.35818181818182,0.953433984938844,0.287471162765046,3.05,2.645,4.04,11
"67","II","FVC.Resting.Percentage",72.8,17.0904456739236,3.41808913478472,76,63,83,25
"68","III","FVC.Resting.Percentage",73.3636363636364,12.6828445332483,3.82402150829042,75,65.5,82.5,11
"70","II","SBP",134.115384615385,18.5565663269408,3.639242069475,130,120,144,26
"71","III","SBP",116.818181818182,20.2623699592036,6.10933441073156,110,103,130,11
"73","II","DBP",73.6538461538462,9.33356226825453,1.83046215912166,70,70,79.5,26
"74","III","DBP",69.5454545454545,11.0214666570619,3.32309723098972,64,60,80,11
"76","II","HR",109.692307692308,18.2049866372249,3.57029161953484,113,100.5,121.75,26
"77","III","HR",95.6363636363636,19.3611607465706,5.83760960928471,93,79.5,114,11
"79","II","HR.1min",90.28,14.6529860438069,2.93059720876138,91,80,100,25
"80","III","HR.1min",82.8181818181818,12.2296212682011,3.68736955225212,80,74.5,93.5,11
"82","II","HR.1minDrop",23.4,15.1079449297381,3.02158898594763,23,14,32,25
"83","III","HR.1minDrop",12.8181818181818,8.71571203996761,2.62788605612324,17,4.5,19.5,11
"85","II","O2Sat",98.12,1.39403491108843,0.278806982217686,98,98,99,25
"86","III","O2Sat",98.1818181818182,1.60113596038449,0.482760656267336,99,97.5,99,11
"88","II","Duration",9.95782051282052,2.79432900986706,0.548013005719636,9.98333333333333,8.23333333333334,11.8625,26
"89","III","Duration",7.71212121212122,2.29609681983593,0.692299239429457,7.16666666666667,5.94166666666666,9.15,11
"91","II","Watts",94.4,29.022979401387,5.8045958802774,100,80,110,25
"92","III","Watts",73.6363636363636,23.3549683248457,7.0417879021953,70,55,90,11
"94","II","Watts.Predicted.Percentage",59.92,20.2852984531491,4.05705969062982,59,48,77,25
"95","III","Watts.Predicted.Percentage",47.1818181818182,11.7372755085512,3.53892172026293,44,38.5,55,11
"97","II","TestEnd.Reason",NA,NA,NA,NA,NA,NA,0
"98","III","TestEnd.Reason",NA,NA,NA,NA,NA,NA,0
"100","II","TestEnd.Symptom",NA,NA,NA,NA,NA,NA,0
"101","III","TestEnd.Symptom",NA,NA,NA,NA,NA,NA,0
"103","II","VO2.perBodyWeight",14.3807692307692,3.28670281355272,0.644575453141756,14.35,11.775,16.5,26
"104","III","VO2.perBodyWeight",12.3363636363636,2.98907100192442,0.901238816828635,12.3,11.45,13.3,11
"106","II","VO2.Predicted.Relative",29.2307692307692,5.63969993746258,1.10603615507422,28.3,25.325,32.775,26
"107","III","VO2.Predicted.Relative",28.8909090909091,5.59847381800693,1.68800336845068,28.9,24.2,32.3,11
"109","II","VO2.Predicted.Relative.Percentage",50.5,13.2249763704893,2.59363125307417,51,40.5,60,26
"110","III","VO2.Predicted.Relative.Percentage",42.9090909090909,8.11732154660077,2.44746453388565,43,37,47.5,11
"112","II","VO2",1.26411538461538,0.409159756273569,0.0802428300544537,1.244,0.99375,1.4515,26
"113","III","VO2",1.14590909090909,0.375833062554495,0.113317932027585,1.098,0.8765,1.261,11
"115","II","VO2.Predicted.Absolute",2.32880769230769,0.556932456890835,0.109223440978444,2.315,1.81675,2.6455,26
"116","III","VO2.Predicted.Absolute",2.32881818181818,0.61441546500423,0.185253232982797,2.231,1.8865,2.7765,11
"118","II","VO2.Predicted.Absolute.Percentage",55.8076923076923,16.6901629249549,3.27321024766876,56,45.25,65,26
"119","III","VO2.Predicted.Absolute.Percentage",49.4545454545455,8.91474774027439,2.68789757774171,51,45.5,53,11
"121","II","VE.Peak",45.4864,13.1992092187373,2.63984184374746,49,34,54.8,25
"122","III","VE.Peak",42.4545454545455,13.6789154275011,4.12434818291137,40.4,33.1,53,11
"124","II","VCO2.Peak",1.40638461538462,0.465413972882042,0.0912751896009337,1.32,1.13025,1.58425,26
"125","III","VCO2.Peak",1.14718181818182,0.40602729420122,0.122421835409881,1.014,0.912,1.372,11
"127","II","VEperVCO2.Peak",33.3846153846154,6.4997041352783,1.27469685455245,32,28.25,36,26
"128","III","VEperVCO2.Peak",37.5454545454545,6.05580112559249,1.82589273987293,38,33.5,39.5,11
"130","II","VEperVCO2.atAT",32.9615384615385,4.7284734892417,0.927329945813445,31.5,30,35.75,26
"131","III","VEperVCO2.atAT",38.7272727272727,5.83251076451487,1.75856816287316,40,33,41,11
"133","II","AT",9.58076923076923,2.52254145349792,0.494711080585869,9.55,7.225,11.15,26
"134","III","AT",8.1,1.38162545173751,0.436908330074958,8.25,7.25,8.9,10
"136","II","VO2.Peak.Measured.Percentage",66.1538461538462,7.01821805128514,1.37638579977508,67,62.25,70.75,26
"137","III","VO2.Peak.Measured.Percentage",64.4,6.83455273672763,2.16127534365964,63,59.25,67.75,10
"139","II","VO2.Peak.Predicted.Percentage",33.6153846153846,9.78192996530612,1.91839429898823,33,28.25,37.5,26
"140","III","VO2.Peak.Predicted.Percentage",28,4.76095228569523,1.50554530541816,29,25,30.75,10
"142","II","RER.Peak",1.11615384615385,0.0823687767580373,0.0161538461538462,1.115,1.05,1.15,26
"143","III","RER.Peak",1.00290909090909,0.0826141084143072,0.0249090909090909,1.01,0.96,1.055,11
"145","II","RPEper20.Peak",16.3333333333333,0.816496580927726,0.333333333333333,16.5,16,17,6
"146","III","RPEper20.Peak",16,NA,NA,16,16,16,1
"148","II","PETCO2.Peak",32.5,1.91485421551268,0.957427107756338,33,31.5,34,4
"149","III","PETCO2.Peak",30,1.4142135623731,1,30,29.5,30.5,2
"151","II","OUES",1.22633333333333,0.251563775876682,0.145240413720761,1.147,1.0855,1.3275,3
"152","III","OUES",1.209,0.231931024229188,0.164,1.209,1.127,1.291,2
"154","II","TotalRiskScore",8.33333333333333,2.88675134594813,1.66666666666667,10,7.5,10,3
"155","III","TotalRiskScore",11.5,4.94974746830583,3.5,11.5,9.75,13.25,2
"157","II","StepData.LongestActiveStreak",46.7692307692308,32.4657452615001,6.36705648506621,39,24.5,59.25,26
"158","III","StepData.LongestActiveStreak",37.1818181818182,32.5785763403442,9.8228103568065,26,17,46.5,11
"160","II","StepData.HighestValuedStreak",3244.61538461538,2296.16276560566,450.314567238787,2853.5,1310.25,4116,26
"161","III","StepData.HighestValuedStreak",2098,2278.41910104353,686.969206667294,1162,694.5,2021,11
"163","II","StepData.OverallMaximum",125.538461538462,18.3198925089221,3.59282651499678,123,115,129.25,26
"164","III","StepData.OverallMaximum",112.909090909091,15.4107400565615,4.64651295539226,111,104.5,115,11
"166","II","StepData.OverallQ3",0,0,0,0,0,0,26
"167","III","StepData.OverallQ3",0,0,0,0,0,0,11
"169","II","StepData.OverallMean",3.79431994460981,1.54695845223107,0.303383512870905,3.48453884078884,2.80389311494883,4.87792038690476,26
"170","III","StepData.OverallMean",2.66310924090529,1.60354531212855,0.48348710315125,2.45884259259259,1.50009259259259,3.54563492063492,11
"172","II","StepData.OverallStdDev",13.087504512972,3.33924368433205,0.654879565655791,13.1658023768193,11.4865237217673,14.720837418654,26
"173","III","StepData.OverallStdDev",9.98900487593237,3.95270653150261,1.19178586103466,9.20152626417489,7.59647432402325,11.8744844769795,11
"175","II","StepData.OverallMedian",0,0,0,0,0,0,26
"176","III","StepData.OverallMedian",0,0,0,0,0,0,11
"178","II","StepData.OverallMode",0,0,0,0,0,0,26
"179","III","StepData.OverallMode",0,0,0,0,0,0,11
"181","II","StepData.OverallQ1",0,0,0,0,0,0,26
"182","III","StepData.OverallQ1",0,0,0,0,0,0,11
"184","II","StepData.OverallMinimum",0,0,0,0,0,0,26
"185","III","StepData.OverallMinimum",0,0,0,0,0,0,11
"187","II","StepData.OverallTotal",85124,30413.1967777148,5964.51860924249,87933,62718.5,107863.5,26
"188","III","StepData.OverallTotal",58733.3636363636,32214.3141267131,9712.9811669957,53123,40436.5,72918,11
"190","II","StepData.Overalln",23483.0769230769,5066.9870883836,993.717924568872,21600,20160,23040,26
"191","III","StepData.Overalln",23040,3088.45592489192,931.204498583323,23040,20160,24480,11
"193","II","StepData.OverallStdErr",0.087331887181605,0.0256041570358388,0.00502138832133985,0.0866883946454051,0.0718476961627095,0.100936959274793,26
"194","III","StepData.OverallStdErr",0.0670162509604344,0.0285817334356841,0.00861771687855632,0.0614712841448221,0.0499432390228135,0.0810199654325479,11
"196","II","StepData.OverallSkewness",5.20174508237356,1.47312700501344,0.288903974790924,4.79524892709401,4.13712901913234,5.95329544643345,26
"197","III","StepData.OverallSkewness",6.49645808130482,2.97400702012449,0.896696855421443,5.44370545455716,4.44773787638444,7.34988051176484,11
"199","II","StepData.OverallKurtosis",33.443743430822,21.6336832920519,4.24271435604073,27.024966712708,18.6162838594833,41.1911231653345,26
"200","III","StepData.OverallKurtosis",61.4194419703875,62.113248582974,18.7278490963454,36.0255217967342,23.2193434229642,67.6160317142385,11
"202","II","StepData.OverallIQR",0,0,0,0,0,0,26
"203","III","StepData.OverallIQR",0,0,0,0,0,0,11
"205","II","StepData.MaximumDailyTotalSteps",10836.8076923077,4204.12859954812,824.497452567284,10969.5,7501.5,12956.75,26
"206","III","StepData.MaximumDailyTotalSteps",7231.63636363636,4292.33477894554,1294.18763057777,5847,4925,7489.5,11
"208","II","StepData.MeanDailyTotalSteps",5463.82072023812,2227.62017121275,436.872258534104,5017.73593073593,4037.60608552631,7024.20535714286,26
"209","III","StepData.MeanDailyTotalSteps",3834.87730690362,2309.10524946511,696.221428537799,3540.73333333333,2160.13333333334,5105.71428571429,11
"211","II","StepData.ModeDailyTotalSteps",3265.84615384615,3694.10767241354,724.474119498057,1673,127.5,4779.75,26
"212","III","StepData.ModeDailyTotalSteps",2286.90909090909,2141.85855996821,645.794654311407,2307,391,3775.5,11
"214","II","StepData.MinimumDailyTotalSteps",971,1542.04920803456,302.420730872635,200,0,1382.5,26
"215","III","StepData.MinimumDailyTotalSteps",1269.90909090909,1576.47578189742,475.325332694173,493,47.5,2307,11
"217","II","StepData.StdDevDailyTotalSteps",2855.57107618268,1302.82340772942,255.504691491453,2577.56499715523,1969.61843710573,3431.90440268699,26
"218","III","StepData.StdDevDailyTotalSteps",1744.73117161327,1100.68354107307,331.868574423557,1512.86699843213,1185.61198545701,1796.94749908283,11
"220","II","StepData.StdErrDailyTotalSteps",713.403047555142,313.242134638279,61.431836807694,658.802409698824,508.163844954798,909.192495430353,26
"221","III","StepData.StdErrDailyTotalSteps",440.70521155374,292.684628530694,88.2477358855329,363.6191141239,311.17731324853,426.829757619101,11
"223","II","StepData.MaximumDailyMaximumSteps",125.538461538462,18.3198925089221,3.59282651499678,123,115,129.25,26
"224","III","StepData.MaximumDailyMaximumSteps",112.909090909091,15.4107400565615,4.64651295539226,111,104.5,115,11
"226","II","StepData.MeanDailyMaximumSteps",95.096869767911,17.9031091204797,3.51108856766564,96.8666666666667,87.6607142857143,105.133928571428,26
"227","III","StepData.MeanDailyMaximumSteps",80.6526477177793,23.1097264609446,6.96784469806374,88.0714285714286,76.6696428571428,92.2321428571428,11
"229","II","StepData.ModeDailyMaximumSteps",92.8461538461538,41.9701725587992,8.23102803331438,111,88.25,114.75,26
"230","III","StepData.ModeDailyMaximumSteps",65,42.2279528274815,12.7322068357803,88,35,95,11
"232","II","StepData.MinimumDailyMaximumSteps",36.8076923076923,34.6283343298741,6.79117509504781,43.5,0,61.25,26
"233","III","StepData.MinimumDailyMaximumSteps",40.8181818181818,30.1257968585669,9.08326951730306,43,17.5,63.5,11
"235","II","StepData.StdDevDailyMaximumSteps",26.2055596307268,13.2920014980026,2.60677596203923,20.6132891443849,16.4117262764572,34.9716975486707,26
"236","III","StepData.StdDevDailyMaximumSteps",21.4468839402402,10.7053078438678,3.22777176212345,23.482984253509,11.9575469004217,29.0444654614679,11
"238","II","StepData.StdErrDailyMaximumSteps",6.42916750246241,3.08475039284909,0.604969324911559,5.33182352571896,4.29598665522068,8.42606120144377,26
"239","III","StepData.StdErrDailyMaximumSteps",5.2641770575397,2.38547236731435,0.719246980922051,6.23760935901036,3.07579009301827,6.80224206948929,11
"241","II","StepData.MaximumDailyQ3Steps",3.01923076923077,6.28725817702879,1.23303277429483,0,0,4,26
"242","III","StepData.MaximumDailyQ3Steps",1.09090909090909,2.58667916273145,0.779913112346444,0,0,0,11
"244","II","StepData.MeanDailyQ3Steps",0.49945054945055,1.00386132234935,0.196873402753861,0,0,0.389285714285714,26
"245","III","StepData.MeanDailyQ3Steps",0.0779220779220779,0.184762797337961,0.0557080794533174,0,0,0,11
"247","II","StepData.ModeDailyQ3Steps",0,0,0,0,0,0,26
"248","III","StepData.ModeDailyQ3Steps",0,0,0,0,0,0,11
"250","II","StepData.MinimumDailyQ3Steps",0,0,0,0,0,0,26
"251","III","StepData.MinimumDailyQ3Steps",0,0,0,0,0,0,11
"253","II","StepData.StdDevDailyQ3Steps",0.910356018454968,1.67078083238225,0.327667079509765,0,0,1.20491379528591,26
"254","III","StepData.StdDevDailyQ3Steps",0.291557718449918,0.6913190854606,0.208440546989495,0,0,0,11
"256","II","StepData.StdErrDailyQ3Steps",0.226600653741555,0.400986671109894,0.0786399561799985,0,0,0.313558357568487,26
"257","III","StepData.StdErrDailyQ3Steps",0.077922077922078,0.184762797337961,0.0557080794533175,0,0,0,11
"259","II","StepData.MaximumDailyMedianSteps",0,0,0,0,0,0,26
"260","III","StepData.MaximumDailyMedianSteps",0,0,0,0,0,0,11
"262","II","StepData.MeanDailyMedianSteps",0,0,0,0,0,0,26
"263","III","StepData.MeanDailyMedianSteps",0,0,0,0,0,0,11
"265","II","StepData.ModeDailyMedianSteps",0,0,0,0,0,0,26
"266","III","StepData.ModeDailyMedianSteps",0,0,0,0,0,0,11
"268","II","StepData.MinimumDailyMedianSteps",0,0,0,0,0,0,26
"269","III","StepData.MinimumDailyMedianSteps",0,0,0,0,0,0,11
"271","II","StepData.StdDevDailyMedianSteps",0,0,0,0,0,0,26
"272","III","StepData.StdDevDailyMedianSteps",0,0,0,0,0,0,11
"274","II","StepData.StdErrDailyMedianSteps",0,0,0,0,0,0,26
"275","III","StepData.StdErrDailyMedianSteps",0,0,0,0,0,0,11
"277","II","StepData.MaximumDailyMeanSteps",7.5255608974359,2.9195337496862,0.572567675393947,7.61770833333333,5.209375,8.99774305555556,26
"278","III","StepData.MaximumDailyMeanSteps",5.02196969696969,2.98078804093439,0.898741410123446,4.06041666666667,3.42013888888888,5.20104166666667,11
"280","II","StepData.MeanDailyMeanSteps",3.79431994460981,1.54695845223107,0.303383512870905,3.48453884078884,2.80389311494883,4.87792038690476,26
"281","III","StepData.MeanDailyMeanSteps",2.66310924090529,1.60354531212855,0.48348710315125,2.45884259259259,1.50009259259259,3.54563492063492,11
"283","II","StepData.ModeDailyMeanSteps",2.26794871794872,2.56535255028718,0.503107027429206,1.16180555555556,0.0885416666666667,3.31927083333333,26
"284","III","StepData.ModeDailyMeanSteps",1.58813131313131,1.4874017777557,0.448468509938477,1.60208333333333,0.271527777777778,2.621875,11
"286","II","StepData.MinimumDailyMeanSteps",0.674305555555555,1.07086750557955,0.210014396439329,0.138888888888889,0,0.960069444444445,26
"287","III","StepData.MinimumDailyMeanSteps",0.881881313131314,1.09477484853988,0.330087036593176,0.342361111111111,0.0329861111111111,1.60208333333334,11
"289","II","StepData.StdDevDailyMeanSteps",1.9830354695713,0.904738477589877,0.177433813535731,1.78997569246891,1.36779058132343,2.38326694631041,26
"290","III","StepData.StdDevDailyMeanSteps",1.21161886917589,0.764363570189637,0.230464287794137,1.05060208224454,0.823341656567366,1.24788020769642,11
"292","II","StepData.StdErrDailyMeanSteps",0.495418783024405,0.217529260165472,0.0426609977831209,0.457501673401961,0.352891558996387,0.63138367738219,26
"293","III","StepData.StdErrDailyMeanSteps",0.306045285801209,0.203253214257427,0.061283149920509,0.252513273697153,0.216095356422591,0.296409553902154,11
"295","II","StepData.MaximumDailyStdDevSteps",20.1013994535367,4.56048120553127,0.894383948399119,20.8554576950024,16.3731592942511,24.3357549710612,26
"296","III","StepData.MaximumDailyStdDevSteps",14.9374427213633,4.85280120504039,1.46317461630032,13.4676856644989,11.6091691616842,15.6884183192344,11
"298","II","StepData.MeanDailyStdDevSteps",11.8693440605454,3.44060148857019,0.674757466489069,11.2027174488789,9.98623537113339,13.493300672035,26
"299","III","StepData.MeanDailyStdDevSteps",9.23153130179799,4.14238208918542,1.24897519346514,8.81449189111326,6.85248847307797,11.3824638440379,11
"301","II","StepData.ModeDailyStdDevSteps",7.77721697082343,6.86522326149937,1.34638105290601,6.88190848616945,1.28940870923933,11.555404279533,26
"302","III","StepData.ModeDailyStdDevSteps",6.86136095079386,5.31060882264414,1.60120880664197,8.07564849781955,2.10026799767965,10.9554807760317,11
"304","II","StepData.MinimumDailyStdDevSteps",3.0120663847228,3.63067646267291,0.712034235796585,1.9233378964651,0,5.03805998949714,26
"305","III","StepData.MinimumDailyStdDevSteps",3.66911216044987,3.70431694633479,1.1168935832316,2.86361468608157,0.735640462978118,6.21148211198617,11
"307","II","StepData.StdDevDailyStdDevSteps",4.86802684370501,1.87178048685971,0.367086354909994,4.76255726439014,3.33964355055921,5.62508872946258,26
"308","III","StepData.StdDevDailyStdDevSteps",3.22472963708103,1.37721496120897,0.41524593472673,3.05651314580804,2.3546099031792,4.41285776682029,11
"310","II","StepData.StdErrDailyStdDevSteps",1.20828204069656,0.431804820990699,0.0846838926267312,1.21182342538861,0.798917755279102,1.4310169409955,26
"311","III","StepData.StdErrDailyStdDevSteps",0.804661228114176,0.344296130519127,0.103809189245743,0.720427057395565,0.597968478904068,1.04463649151842,11
"313","II","StepData.MaximumDailyStdErrSteps",0.529718386917001,0.120179231965577,0.0235690864969643,0.549589566345774,0.431470632188238,0.641303452402654,26
"314","III","StepData.MaximumDailyStdErrSteps",0.393636178481765,0.127882540332811,0.038558036683766,0.354904679258456,0.305928469109249,0.413426123119095,11
"316","II","StepData.MeanDailyStdErrSteps",0.312784679695957,0.0906678102070632,0.0177814205192516,0.295217526014737,0.263160408527653,0.355579693975927,26
"317","III","StepData.MeanDailyStdErrSteps",0.243272210040174,0.109161352837606,0.0329133862699941,0.232282256608357,0.180578926791465,0.299954259430629,11
"319","II","StepData.ModeDailyStdErrSteps",0.204947662375978,0.180914517932564,0.0354802560473222,0.181354212209474,0.0339789029671174,0.30451164006151,26
"320","III","StepData.ModeDailyStdErrSteps",0.180812737108726,0.139946830347839,0.0421955569875731,0.212812023633559,0.0553469214119079,0.28870226762041,11
"322","II","StepData.MinimumDailyStdErrSteps",0.0793749186612753,0.0956767255767476,0.0187637496427884,0.0506844038578902,0,0.132764537961458,26
"323","III","StepData.MinimumDailyStdErrSteps",0.0966895951470231,0.0976173227131469,0.0294327302253224,0.075462872909382,0.0193858283499303,0.163686925993911,11
"325","II","StepData.StdDevDailyStdErrSteps",0.128283771141236,0.0493257468194629,0.00967357482903764,0.125504403687113,0.0880073349404898,0.148234103547037,26
"326","III","StepData.StdDevDailyStdErrSteps",0.0849790874285352,0.0362928008756732,0.0109426911905173,0.0805461936583313,0.0620494191269568,0.116289012779303,11
"328","II","StepData.StdErrDailyStdErrSteps",0.0318410275373115,0.0113790561580991,0.00223161651524675,0.031934351218126,0.0210533314152581,0.037710607531938,26
"329","III","StepData.StdErrDailyStdErrSteps",0.0212046852139092,0.00907299968352542,0.00273561233393337,0.0189849199115236,0.01575785301936,0.0275285886677114,11
"331","II","StepData.MaximumDailyQ1Steps",0,0,0,0,0,0,26
"332","III","StepData.MaximumDailyQ1Steps",0,0,0,0,0,0,11
"334","II","StepData.MeanDailyQ1Steps",0,0,0,0,0,0,26
"335","III","StepData.MeanDailyQ1Steps",0,0,0,0,0,0,11
"337","II","StepData.ModeDailyQ1Steps",0,0,0,0,0,0,26
"338","III","StepData.ModeDailyQ1Steps",0,0,0,0,0,0,11
"340","II","StepData.MinimumDailyQ1Steps",0,0,0,0,0,0,26
"341","III","StepData.MinimumDailyQ1Steps",0,0,0,0,0,0,11
"343","II","StepData.StdDevDailyQ1Steps",0,0,0,0,0,0,26
"344","III","StepData.StdDevDailyQ1Steps",0,0,0,0,0,0,11
"346","II","StepData.StdErrDailyQ1Steps",0,0,0,0,0,0,26
"347","III","StepData.StdErrDailyQ1Steps",0,0,0,0,0,0,11
