"","PureNYHAClass","variable","mean","sd","sem","median","q1","q3","n"
"349","II","StepData.MaximumDailyMinimumSteps",0,0,0,0,0,0,26
"350","III","StepData.MaximumDailyMinimumSteps",0,0,0,0,0,0,11
"352","II","StepData.MeanDailyMinimumSteps",0,0,0,0,0,0,26
"353","III","StepData.MeanDailyMinimumSteps",0,0,0,0,0,0,11
"355","II","StepData.ModeDailyMinimumSteps",0,0,0,0,0,0,26
"356","III","StepData.ModeDailyMinimumSteps",0,0,0,0,0,0,11
"358","II","StepData.MinimumDailyMinimumSteps",0,0,0,0,0,0,26
"359","III","StepData.MinimumDailyMinimumSteps",0,0,0,0,0,0,11
"361","II","StepData.StdDevDailyMinimumSteps",0,0,0,0,0,0,26
"362","III","StepData.StdDevDailyMinimumSteps",0,0,0,0,0,0,11
"364","II","StepData.StdErrDailyMinimumSteps",0,0,0,0,0,0,26
"365","III","StepData.StdErrDailyMinimumSteps",0,0,0,0,0,0,11
"367","II","StepData.MaximumDailyModeSteps",0,0,0,0,0,0,26
"368","III","StepData.MaximumDailyModeSteps",0,0,0,0,0,0,11
"370","II","StepData.MeanDailyModeSteps",0,0,0,0,0,0,26
"371","III","StepData.MeanDailyModeSteps",0,0,0,0,0,0,11
"373","II","StepData.ModeDailyModeSteps",0,0,0,0,0,0,26
"374","III","StepData.ModeDailyModeSteps",0,0,0,0,0,0,11
"376","II","StepData.MinimumDailyModeSteps",0,0,0,0,0,0,26
"377","III","StepData.MinimumDailyModeSteps",0,0,0,0,0,0,11
"379","II","StepData.StdDevDailyModeSteps",0,0,0,0,0,0,26
"380","III","StepData.StdDevDailyModeSteps",0,0,0,0,0,0,11
"382","II","StepData.StdErrDailyModeSteps",0,0,0,0,0,0,26
"383","III","StepData.StdErrDailyModeSteps",0,0,0,0,0,0,11
"385","II","StepData.MaximumDailyIQR",3.01923076923077,6.28725817702879,1.23303277429483,0,0,4,26
"386","III","StepData.MaximumDailyIQR",1.09090909090909,2.58667916273145,0.779913112346444,0,0,0,11
"388","II","StepData.MeanDailyIQR",0.49945054945055,1.00386132234935,0.196873402753861,0,0,0.389285714285714,26
"389","III","StepData.MeanDailyIQR",0.0779220779220779,0.184762797337961,0.0557080794533174,0,0,0,11
"391","II","StepData.ModeDailyIQR",0,0,0,0,0,0,26
"392","III","StepData.ModeDailyIQR",0,0,0,0,0,0,11
"394","II","StepData.MinimumDailyIQR",0,0,0,0,0,0,26
"395","III","StepData.MinimumDailyIQR",0,0,0,0,0,0,11
"397","II","StepData.StdDevDailyIQR",0.910356018454968,1.67078083238225,0.327667079509765,0,0,1.20491379528591,26
"398","III","StepData.StdDevDailyIQR",0.291557718449918,0.6913190854606,0.208440546989495,0,0,0,11
"400","II","StepData.StdErrDailyIQR",0.226600653741555,0.400986671109894,0.0786399561799985,0,0,0.313558357568487,26
"401","III","StepData.StdErrDailyIQR",0.077922077922078,0.184762797337961,0.0557080794533175,0,0,0,11
"403","II","StepData.MaximumDailySkewness",13.2238410907748,9.74828910880254,2.43707227720063,9.87809094417715,6.20778953335777,17.3693382302487,16
"404","III","StepData.MaximumDailySkewness",12.392480363287,8.42833426103624,2.80944475367875,10.3740096270431,6.25844759933175,12.5858318697137,9
"406","II","StepData.MeanDailySkewness",5.29573508804474,1.30121393489696,0.325303483724239,4.9733899428251,4.37259718060273,6.31084721468454,16
"407","III","StepData.MeanDailySkewness",5.76576010457311,1.83197483516098,0.610658278386995,5.27596865688529,4.48385422370712,6.56062028740832,9
"409","II","StepData.ModeDailySkewness",8.63057933624298,8.60824426110805,1.87847290129509,4.99796132253106,3.61270449230845,10.073180147946,21
"410","III","StepData.ModeDailySkewness",9.21798654177192,7.88512144158614,2.62837381386205,6.73307886629401,4.85889240045366,10.1597249853978,9
"412","II","StepData.MinimumDailySkewness",3.20623360487552,0.597014451917003,0.149253612979251,3.21961845368513,2.80431391685036,3.46804141526678,16
"413","III","StepData.MinimumDailySkewness",3.7045328403894,1.12604627575394,0.375348758584648,3.7609301278781,2.91662560187653,4.17925657307656,9
"415","II","StepData.StdDevDailySkewness",2.53506172806951,2.27689062238664,0.569222655596659,1.6214325029302,0.923288573470163,3.80947203702544,16
"416","III","StepData.StdDevDailySkewness",2.178260587511,1.91945982191459,0.639819940638197,1.7679336167051,0.881524481923413,2.07352595900799,9
"418","II","StepData.StdErrDailySkewness",0.645684272745449,0.570771140254031,0.142692785063508,0.433346064410295,0.238392084586237,0.974781235000692,16
"419","III","StepData.StdErrDailySkewness",0.546772920757758,0.466982142985413,0.155660714328471,0.441983404176275,0.235597327815058,0.518381489751997,9
"421","II","StepData.MaximumDailyKurtosis",283.849222511695,386.882425904598,96.7206064761495,119.893721525357,43.7099988911888,362.89802732174,16
"422","III","StepData.MaximumDailyKurtosis",237.059299527323,295.107738094122,98.369246031374,143.812435206991,43.5278547491297,187.252759552402,9
"424","II","StepData.MeanDailyKurtosis",44.8175949862742,31.1932623677389,7.79831559193471,37.0519081064236,22.6798708352609,51.1708605739999,16
"425","III","StepData.MeanDailyKurtosis",49.5316341980573,32.7799788091263,10.9266596030421,34.4321096507667,24.2305357224024,74.2141075406931,9
"427","II","StepData.ModeDailyKurtosis",149.984498703403,330.957309557891,72.2208058499031,31.4408613098358,15.5909766944548,112.517300490707,21
"428","III","StepData.ModeDailyKurtosis",149.232496623086,280.170165517441,93.3900551724805,45.83156043816,26.0630530788479,123.897112913819,9
"430","II","StepData.MinimumDailyKurtosis",10.7403300112215,5.02935584027467,1.25733896006867,9.94878997597459,7.06441471419073,13.0387852103853,16
"431","III","StepData.MinimumDailyKurtosis",15.6387785954545,9.22700996339042,3.07566998779681,15.9007894781635,8.24518436553457,19.31540743951,9
"433","II","StepData.StdDevDailyKurtosis",68.4626540259651,95.0987917869188,23.7746979467297,28.937147492374,10.7894300896216,89.1085295099833,16
"434","III","StepData.StdDevDailyKurtosis",54.4440241217997,71.0518724708811,23.6839574902937,34.3337516466809,9.82759114857356,40.9707276565047,9
"436","II","StepData.StdErrDailyKurtosis",17.3321785156788,24.0758053244212,6.01895133110531,7.73377797621487,2.7858188701449,22.7696463898563,16
"437","III","StepData.StdErrDailyKurtosis",13.5520217094464,17.5013286478622,5.83377621595408,8.58343791167022,2.62653421537532,10.9498875555332,9
"439","II","StepData.TotalActiveMinutes_Pure",2985.07692307692,944.257715799111,185.184173796931,2870,2388.25,3623.75,26
"440","III","StepData.TotalActiveMinutes_Pure",2308.72727272727,955.053201754655,287.959375004344,2669,1680,3062,11
"442","II","StepData.MeanActiveMinutes_Pure",191.926396054289,70.3067451420921,13.7882871314124,184.224242424243,150.096875,238.125,26
"443","III","StepData.MeanActiveMinutes_Pure",149.856997607655,70.6213868727047,21.2931493119356,177.933333333333,95.83125,206.236607142857,11
"445","II","StepData.StdDevActiveMinutes_Pure",81.233169268175,34.5233240279213,6.77058088047912,72.3398173297348,58.8552815888135,99.9211054304538,26
"446","III","StepData.StdDevActiveMinutes_Pure",56.4961836670423,24.3152123195544,7.33131236016264,63.6478981982512,38.2282333289001,79.2418518005451,11
"448","II","StepData.ModeActiveMinutes_Pure",149.192307692308,127.631976943325,25.0306900381708,153.5,20,237.75,26
"449","III","StepData.ModeActiveMinutes_Pure",115.909090909091,107.632202008,32.4523299472975,82,15.5,216,11
"451","II","StepData.MaxActiveMinutes_Pure",313.730769230769,93.7731550892078,18.390428755809,313,246.75,368.5,26
"452","III","StepData.MaxActiveMinutes_Pure",246.272727272727,93.887263150111,28.3080749511163,248,180,304,11
"454","II","StepData.TotalActiveMinutes_PosMET",753.153846153846,501.028437700512,98.2597607961468,678.5,430.75,900.25,26
"455","III","StepData.TotalActiveMinutes_PosMET",448.545454545455,339.019280760361,102.218159179843,315,203,720,11
"457","II","StepData.MeanActiveMinutes_PosMET",48.1216058719462,34.2608938683476,6.71911409183984,38.8261904761905,28.5607142857142,56.8785714285714,26
"458","III","StepData.MeanActiveMinutes_PosMET",28.9674109516215,22.2384361523085,6.70514078558929,21.3571428571429,13.2166666666667,45.5277777777778,11
"460","II","StepData.StdDevActiveMinutes_PosMET",30.0894300030477,17.2338366133975,3.37983343022245,27.0715543495388,16.957408249111,37.5775395196545,26
"461","III","StepData.StdDevActiveMinutes_PosMET",17.3064827151522,13.6358260765337,4.1113562547642,11.4059560464405,10.0863507317462,20.7616764119962,11
"463","II","StepData.ModeActiveMinutes_PosMET",34.1923076923077,45.7261581423756,8.9676374096001,13.5,4.5,50.75,26
"464","III","StepData.ModeActiveMinutes_PosMET",25.7272727272727,20.4992239320951,6.18074857056667,28,6.5,46,11
"466","II","StepData.MaxActiveMinutes_PosMET",109.5,62.2184859989376,12.2020490082609,99.5,61.25,139.25,26
"467","III","StepData.MaxActiveMinutes_PosMET",64.9090909090909,50.7157856006481,15.291384707769,43,35,79.5,11
"469","II","StepData.TotalMETClass.BelowMin",22729.9230769231,5142.95975425106,1008.61739017494,20894.5,19681.5,22755.5,26
"470","III","StepData.TotalMETClass.BelowMin",22591.4545454545,3184.95809591386,960.300997922823,22167,19951,23867.5,11
"472","II","StepData.MeanMETClass.BelowMin",1391.87839412805,34.2608938683477,6.71911409183985,1401.17380952381,1383.12142857143,1411.43928571429,26
"473","III","StepData.MeanMETClass.BelowMin",1411.03258904838,22.2384361523095,6.70514078558957,1418.64285714286,1394.47222222222,1426.78333333334,11
"475","II","StepData.StdDevMETClass.BelowMin",30.0894300030477,17.2338366133975,3.37983343022245,27.0715543495388,16.957408249111,37.5775395196545,26
"476","III","StepData.StdDevMETClass.BelowMin",17.3064827151522,13.6358260765337,4.1113562547642,11.4059560464405,10.0863507317462,20.7616764119962,11
"478","II","StepData.ModeMETClass.BelowMin",1405.80769230769,45.7261581423756,8.9676374096001,1426.5,1389.25,1435.5,26
"479","III","StepData.ModeMETClass.BelowMin",1414.27272727273,20.4992239320951,6.18074857056667,1412,1394,1433.5,11
"481","II","StepData.MaxMETClass.BelowMin",1434.65384615385,11.5410304832534,2.26338229388763,1439.5,1436.25,1440,26
"482","III","StepData.MaxMETClass.BelowMin",1435,7.77174369109018,2.34326889001435,1439,1433,1440,11
"484","II","StepData.OverallMETClass.BelowMin.PercentageAll",0.966582218144482,0.0237922874085746,0.00466605145266654,0.973037367724868,0.960500992063492,0.980166170634921,26
"485","III","StepData.OverallMETClass.BelowMin.PercentageAll",0.979883742394707,0.0154433584391031,0.00465634776777032,0.985168650793651,0.968383487654321,0.990821759259259,11
"487","II","StepData.TotalMETClassNegligible",323.730769230769,326.006694126646,63.935172881294,216.5,154,328.25,26
"488","III","StepData.TotalMETClassNegligible",202.727272727273,179.630226247751,54.1605510427673,163,87.5,257,11
"490","II","StepData.MeanMETClassNegligible",20.6077625490058,21.7498115996127,4.26548899089969,13.3376623376624,9.99553571428573,21.4047619047619,26
"491","III","StepData.MeanMETClassNegligible",12.7668479911901,10.4204897564762,3.14189587763394,11.6428571428571,4.88125,17.8169642857143,11
"493","II","StepData.StdDevMETClassNegligible",11.7935566251178,10.0480426348884,1.970583287258,8.08947166974143,6.00995499783463,13.5702667527778,26
"494","III","StepData.StdDevMETClassNegligible",7.10829929518582,4.91984261268846,1.48338836126267,6.49777289781499,3.80386044312161,9.05127513067499,11
"496","II","StepData.ModeMETClassNegligible",16.3846153846154,22.7069626732893,4.45320176021251,8.5,2.5,18.75,26
"497","III","StepData.ModeMETClassNegligible",12.3636363636364,12.4520900034711,3.75444639974991,8,2,21,11
"499","II","StepData.MaxMETClassNegligible",42.5769230769231,35.8130401691039,7.02351502551319,32,23,46.75,26
"500","III","StepData.MaxMETClassNegligible",27.0909090909091,18.1573926842735,5.47465988226175,22,15,40.5,11
"502","II","StepData.OverallMETClassNegligible.Percentage",0.452922669970824,0.119636135455456,0.0234625765083923,0.432596773207981,0.394668907768665,0.521266021695961,26
"503","III","StepData.OverallMETClassNegligible.Percentage",0.542623261240544,0.170259562397497,0.0513351895856909,0.56711983392678,0.472844357438194,0.65550770351495,11
"505","II","StepData.OverallMETClassNegligible.PercentageAll",0.0143109462145873,0.0151040358330643,0.00296214513256922,0.00926226551226552,0.00694134424603175,0.014864417989418,26
"506","III","StepData.OverallMETClassNegligible.PercentageAll",0.00886586666054867,0.00723645121977512,0.00218187213724579,0.00808531746031746,0.00338975694444445,0.0123728918650793,11
"508","II","StepData.TotalMETClassSedentary",115.115384615385,70.7142570762513,13.8682067969624,109,60.75,131.75,26
"509","III","StepData.TotalMETClassSedentary",61.6363636363636,39.0621881805736,11.7776928804744,62,32.5,80,11
"511","II","StepData.MeanMETClassSedentary",7.33121842364129,4.63580581640823,0.909156319965096,6.54017857142857,4.02455357142857,9.03214285714286,26
"512","III","StepData.MeanMETClassSedentary",3.96484772537404,2.49887748045823,0.753439909068056,4.375,1.90625,5.50396825396825,11
"514","II","StepData.StdDevMETClassSedentary",5.62866154423726,3.63475770588225,0.71283463344136,4.5800448960024,3.62745766647829,7.36308901575503,26
"515","III","StepData.StdDevMETClassSedentary",3.08214025189871,1.2963010865247,0.390849483575678,3.3935944832115,1.76536192529756,3.84530230955604,11
"517","II","StepData.ModeMETClassSedentary",4.76923076923077,5.62357674301822,1.10287413649371,3,1,7.5,26
"518","III","StepData.ModeMETClassSedentary",2.45454545454545,2.69679944985297,0.813115628181742,2,0.5,2.5,11
"520","II","StepData.MaxMETClassSedentary",20.3461538461538,14.3469642996484,2.81367118941254,16.5,13,24.75,26
"521","III","StepData.MaxMETClassSedentary",11,4.83735464897913,1.45851730441319,12,7,14,11
"523","II","StepData.OverallMETClassSedentary.Percentage",0.169686905997108,0.0663085938701845,0.0130041851562681,0.163114033612097,0.13059698584814,0.182508213345074,26
"524","III","StepData.OverallMETClassSedentary.Percentage",0.152319316635668,0.0543592834129321,0.0163899406321169,0.152039720880301,0.125702943273853,0.176483294222023,11
"526","II","StepData.OverallMETClassSedentary.PercentageAll",0.00509112390530646,0.00321930959472794,0.000631358555531317,0.00454179067460317,0.00279482886904762,0.00627232142857143,26
"527","III","StepData.OverallMETClassSedentary.PercentageAll",0.0027533664759542,0.00173533158365155,0.00052322215907504,0.00303819444444444,0.00132378472222222,0.00382220017636685,11
"529","II","StepData.TotalMETClassVeryLight",58.8076923076923,42.3395977597986,8.30347827595701,46.5,25.25,81.75,26
"530","III","StepData.TotalMETClassVeryLight",35.1818181818182,28.3471980337323,8.54700179416276,24,15.5,60,11
"532","II","StepData.MeanMETClassVeryLight",3.71746090041235,2.65223985676563,0.520147030168327,2.76190476190476,1.6266447368421,5.55,26
"533","III","StepData.MeanMETClassVeryLight",2.30019461532619,1.89904156970774,0.572582577091647,1.6,1.01339285714286,3.8015873015873,11
"535","II","StepData.StdDevMETClassVeryLight",3.57340958297418,2.55950698998749,0.501960618735513,2.81184450945047,1.7789960828168,4.90299950094962,26
"536","III","StepData.StdDevMETClassVeryLight",2.22930119312087,1.72540508850393,0.520229208176136,1.66207701385947,1.29658249603162,2.91359278844368,11
"538","II","StepData.ModeMETClassVeryLight",1.61538461538462,2.72876416096259,0.535154680951572,0,0,2,26
"539","III","StepData.ModeMETClassVeryLight",0.636363636363636,1.12006493318265,0.337712284018304,0,0,1,11
"541","II","StepData.MaxMETClassVeryLight",12.5,9.66333275842243,1.89513547313601,9.5,6.25,16.5,26
"542","III","StepData.MaxMETClassVeryLight",6.81818181818182,4.97630750292186,1.50041316623838,5,4,10,11
"544","II","StepData.OverallMETClassVeryLight.Percentage",0.0744319166988966,0.0253338423744533,0.00496837525467775,0.0671687432422189,0.0587808284959169,0.0896559269615395,26
"545","III","StepData.OverallMETClassVeryLight.Percentage",0.067124410114483,0.0210075261830003,0.00633400746568901,0.0726259945668293,0.0595078353405154,0.0761946262454903,11
"547","II","StepData.OverallMETClassVeryLight.PercentageAll",0.0025815700697308,0.00184183323386502,0.000361213215394671,0.00191798941798941,0.00112961440058479,0.00385416666666667,26
"548","III","StepData.OverallMETClassVeryLight.PercentageAll",0.0015973573717543,0.0013187788678526,0.000397626789646977,0.00111111111111111,0.00070374503968254,0.00263999118165785,11
"550","II","StepData.TotalMETClassLight",115.346153846154,78.1869259186943,15.3337177295098,102.5,51,162,26
"551","III","StepData.TotalMETClassLight",91.7272727272727,146.193769298894,44.0790799502009,55,17,76,11
"553","II","StepData.MeanMETClassLight",7.3763056098469,5.40274936930207,1.05956632542778,5.02380952380953,3.20729166666667,10.7023809523809,26
"554","III","StepData.MeanMETClassLight",6.22666135034556,10.4752265986658,3.15839965652047,3.55555555555556,1.13839285714285,5.10714285714285,11
"556","II","StepData.StdDevMETClassLight",6.51908429956615,3.7706903013513,0.739493208704052,5.62965489111992,3.39418425899099,9.53931550737042,26
"557","III","StepData.StdDevMETClassLight",5.88119170621255,9.45684858479978,2.8513471322713,2.99454842362549,2.06847079345753,4.62992337649158,11
"559","II","StepData.ModeMETClassLight",4.34615384615385,5.41806096453193,1.06256917630706,2,0,6,26
"560","III","StepData.ModeMETClassLight",3.72727272727273,9.15522702166264,2.76040480921618,0,0,2.5,11
"562","II","StepData.MaxMETClassLight",23.7692307692308,13.946491149555,2.73513194298961,20,12,29.75,26
"563","III","StepData.MaxMETClassLight",18.5454545454545,27.0457524811703,8.15460119571503,9,7,15.5,11
"565","II","StepData.OverallMETClassLight.Percentage",0.147702874019969,0.070789701869637,0.0138830027382575,0.132617726019927,0.0884045349872536,0.192201531848224,26
"566","III","StepData.OverallMETClassLight.Percentage",0.133278783556318,0.120508566271852,0.0363346998497647,0.120302466520107,0.0553060619802213,0.152163771445167,11
"568","II","StepData.OverallMETClassLight.PercentageAll",0.00512243445128257,0.00375190928423754,0.000735809948213737,0.00348875661375661,0.00222728587962963,0.00743220899470899,26
"569","III","StepData.OverallMETClassLight.PercentageAll",0.00432407038218442,0.00727446291574012,0.00219333309480588,0.00246913580246914,0.000790550595238095,0.00354662698412698,11
"571","II","StepData.TotalMETClassLowModerate",137.807692307692,116.160585133089,22.7809650116913,98,69,142.5,26
"572","III","StepData.TotalMETClassLowModerate",56.0909090909091,63.5239396534166,19.1531884577783,25,12,85,11
"574","II","StepData.MeanMETClassLowModerate",8.93426035549447,7.78794365677694,1.52734141064103,6.75,3.83928571428571,9.353125,26
"575","III","StepData.MeanMETClassLowModerate",3.63499563302195,4.12904351488392,1.24495346199275,1.78571428571429,0.715789473684211,6.07142857142857,11
"577","II","StepData.StdDevMETClassLowModerate",9.28218563841698,6.57564931949431,1.28959093056325,6.47804629389096,5.38283589517044,12.3667383551158,26
"578","III","StepData.StdDevMETClassLowModerate",4.1565058196963,3.06352772887669,0.923688364684872,2.57755520788076,2.0840864991041,6.21988964992672,11
"580","II","StepData.ModeMETClassLowModerate",2.61538461538462,5.81086515470406,1.13960441594971,0,0,2,26
"581","III","StepData.ModeMETClassLowModerate",1.72727272727273,4.14947970451499,1.25111520500646,0,0,0,11
"583","II","StepData.MaxMETClassLowModerate",30.5384615384615,20.0344318995688,3.92907535383259,24,15.25,46.25,26
"584","III","StepData.MaxMETClassLowModerate",13.9090909090909,9.36434242704255,2.8234554762642,9,8,22,11
"586","II","StepData.OverallMETClassLowModerate.Percentage",0.152260294561329,0.0935027475173471,0.0183373974679036,0.142018582926361,0.0798958586327049,0.184705450914955,26
"587","III","StepData.OverallMETClassLowModerate.Percentage",0.103296735921494,0.0886074394611346,0.0267161482115195,0.0634920634920635,0.0486167422924505,0.149411736629584,11
"589","II","StepData.OverallMETClassLowModerate.PercentageAll",0.00620434746909339,0.0054082942060951,0.00106065375738961,0.0046875,0.00266617063492063,0.00649522569444444,26
"590","III","StepData.OverallMETClassLowModerate.PercentageAll",0.00252430252293191,0.0028673913297805,0.00086455101527274,0.00124007936507937,0.000497076023391813,0.00421626984126984,11
"592","II","StepData.TotalMETClassModerate",2.19230769230769,4.93979133785411,0.968772785569027,0,0,1.75,26
"593","III","StepData.TotalMETClassModerate",1.18181818181818,3.91964747951093,1.18181818181818,0,0,0,11
"595","II","StepData.MeanMETClassModerate",0.144341623288992,0.327848480195203,0.0642963768468106,0,0,0.0968045112781956,26
"596","III","StepData.MeanMETClassModerate",0.0738636363636364,0.244977967469433,0.0738636363636364,0,0,0,11
"598","II","StepData.StdDevMETClassModerate",0.298817694894084,0.586895430334383,0.115099663527441,0,0,0.303291636209836,26
"599","III","StepData.StdDevMETClassModerate",0.125172057892866,0.415148750267282,0.125172057892866,0,0,0,11
"601","II","StepData.ModeMETClassModerate",0,0,0,0,0,0,26
"602","III","StepData.ModeMETClassModerate",0,0,0,0,0,0,11
"604","II","StepData.MaxMETClassModerate",1,1.97989898732233,0.38829013735766,0,0,1,26
"605","III","StepData.MaxMETClassModerate",0.363636363636364,1.20604537831105,0.363636363636364,0,0,0,11
"607","II","StepData.OverallMETClassModerate.Percentage",0.0027754995939812,0.00616317412950807,0.00120869789046276,0,0,0.00186137285920627,26
"608","III","StepData.OverallMETClassModerate.Percentage",0.00135749253149316,0.00450229338267253,0.00135749253149316,0,0,0,11
"610","II","StepData.OverallMETClassModerate.PercentageAll",0.000100237238395133,0.000227672555691113,4.4650261699174e-05,0,0,6.72253550543025e-05,26
"611","III","StepData.OverallMETClassModerate.PercentageAll",5.12941919191919e-05,0.000170123588520439,5.12941919191919e-05,0,0,0,11
"613","II","StepData.TotalMETClassVigorous",0.153846153846154,0.784464540552736,0.153846153846154,0,0,0,26
"614","III","StepData.TotalMETClassVigorous",0,0,0,0,0,0,11
"616","II","StepData.MeanMETClassVigorous",0.0102564102564103,0.0522976360368491,0.0102564102564103,0,0,0,26
"617","III","StepData.MeanMETClassVigorous",0,0,0,0,0,0,11
"619","II","StepData.StdDevMETClassVigorous",0.0228314169117178,0.116417840355822,0.0228314169117178,0,0,0,26
"620","III","StepData.StdDevMETClassVigorous",0,0,0,0,0,0,11
"622","II","StepData.ModeMETClassVigorous",0,0,0,0,0,0,26
"623","III","StepData.ModeMETClassVigorous",0,0,0,0,0,0,11
"625","II","StepData.MaxMETClassVigorous",0.0769230769230769,0.392232270276368,0.0769230769230769,0,0,0,26
"626","III","StepData.MaxMETClassVigorous",0,0,0,0,0,0,11
"628","II","StepData.OverallMETClassVigorous.Percentage",0.000219839157892255,0.00112096415594442,0.000219839157892255,0,0,0,26
"629","III","StepData.OverallMETClassVigorous.Percentage",0,0,0,0,0,0,11
"631","II","StepData.OverallMETClassVigorous.PercentageAll",7.12250712250712e-06,3.63178028033674e-05,7.12250712250712e-06,0,0,0,26
"632","III","StepData.OverallMETClassVigorous.PercentageAll",0,0,0,0,0,0,11
"634","II","BMI",28.9999204566131,6.07549644422914,1.191502881688,27.5562263837178,24.9891844351735,31.7113082662926,26
"635","III","BMI",30.8779638357717,6.66056478059197,2.00823584264358,29.6296296296296,27.0339452473213,32.76433018151,11
